red	#E83344
lightred	#FD9F7F
pink	#FF4C94
orange	#F5A100
yellow	#FDF64F
lightyellow	#FFFF70
green	#9DE7B7
lightgreen	#00D86C
icegreen	#7FFFBF
blue	#009DDC
iceblue	#7BCDFF
bluepurple	#025CEA
purple	#9257ae
lightpurple	#78A7FF
icepurple	#D89ADA
lightgrey	#EAEAEA
lightblack	#333333
