入侵	侵入,侵染,侵袭
人体免疫系统	免疫系统,免疫,抵抗力
SARS肺炎	非典
MERS肺炎	中东肺炎
新型冠状病毒肺炎	新冠肺炎,新冠肺,COVID19肺炎,COVID-19肺炎
COVID-19	2019-ncov,COVID19,2019ncov,SARS-Cov-2,SARSCov-2,SARSCOV2
包含	包括
Remdesivir	瑞德西韦,瑞德西威
注射血清	血清
RT-PCR	PCR,RTPCR
