orig	forward	backward
夫妻	妻子	丈夫
母子	儿子	母亲
父子	儿子	父亲
母女	女儿	母亲
父女	女儿	父亲
主奴	奴仆	主人
亲戚	亲戚	亲戚
兄弟	兄弟	兄弟
上下级	下级	上级
祖孙	孙子	祖父
