red	#E83344
lightred	#FD9F7F
pink	#FF4C94
orange	#F5A100
yellow	#E5E516
lightyellow	#FFFF70
green	#00D86C
lightgreen	#9DE7B7
icegreen	#7FFFBF
blue	#009DDC
iceblue	#7BCDFF
bluepurple	#025CEA
purple	#9257ae
lightpurple	#78A7FF
icepurple	#D89ADA
lightgrey	#EAEAEA
lightblack	#333333
grey	#808080
